Flight No.,Date and time ( ),Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome
1,"4 June 2010, 18:45",F9 v1.0 [ 7 ] B0003.1 [ 8 ],"CCAFS , SLC-40",D,,LEO,SpaceX
1,"4 June 2010, 18:45",F9 v1.0 [ 7 ] B0004.1 [ 8 ],"CCAFS , SLC-40",D,,LEO ( ISS ),NASA ( COTS ) NRO
1,"8 December 2010, 15:43 [ 13 ]",F9 v1.0 [ 7 ] B0005.1 [ 8 ],"CCAFS , SLC-40",D,"525 kg (1,157 lb) [ 19 ]",LEO ( ISS ),NASA ( COTS )
2,"22 May 2012, 07:44 [ 17 ]",F9 v1.0 [ 7 ] B0006.1 [ 8 ],"CCAFS , SLC-40",S,"4,700 kg (10,400 lb)",LEO ( ISS ),NASA ( CRS )
3,"8 October 2012, 00:35 [ 21 ]",F9 v1.0 [ 7 ] B0007.1 [ 8 ],"CCAFS , SLC-40",S,"4,877 kg (10,752 lb)",LEO ( ISS ),NASA ( CRS )
4,"1 March 2013, 15:10",F9 v1.1 [ 7 ] B1003 [ 8 ],"VAFB , SLC-4E",C,"500 kg (1,100 lb)",Polar orbit LEO,MDA
5,"29 September 2013, 16:00 [ 30 ]",F9 v1.1 B1004,"CCAFS , SLC-40",S,"3,170 kg (6,990 lb)",GTO,SES
6,"3 December 2013, 22:41 [ 34 ]",F9 v1.1,"CCAFS , SLC-40",T,"3,325 kg (7,330 lb)",GTO,Thaicom
7,"6 January 2014, 22:06 [ 41 ]",F9 v1.1,"Cape Canaveral , LC-40",S,"2,296 kg (5,062 lb) [ 45 ]",LEO ( ISS ),NASA ( CRS )
8,"18 April 2014, 19:25 [ 21 ]",F9 v1.1,"Cape Canaveral , LC-40",O,"1,316 kg (2,901 lb)",LEO,Orbcomm
9,"14 July 2014, 15:15",F9 v1.1,"Cape Canaveral , LC-40",A,"4,535 kg (9,998 lb)",GTO,AsiaSat
10,"5 August 2014, 08:00",F9 v1.1 B1011 [ 8 ],"Cape Canaveral , LC-40",A,"4,428 kg (9,762 lb)",GTO,AsiaSat
11,"7 September 2014, 05:00",F9 v1.1 B1010 [ 8 ],"Cape Canaveral , LC-40",S,"2,216 kg (4,885 lb) [ 62 ]",LEO ( ISS ),NASA ( CRS )
12,"21 September 2014, 05:52 [ 21 ]",F9 v1.1 B1012 [ 8 ],"Cape Canaveral , LC-40",S,"2,395 kg (5,280 lb) [ 69 ]",LEO ( ISS ),NASA ( CRS )
13,"10 January 2015, 09:47 [ 67 ]",F9 v1.1 B1013 [ 8 ],"Cape Canaveral , LC-40",D,"570 kg (1,260 lb)",HEO ( Sun–Earth L 1 insertion),USAF NASA NOAA
14,"11 February 2015, 23:03 [ 72 ]",F9 v1.1 B1014 [ 8 ],"Cape Canaveral , LC-40",A,"4,159 kg (9,169 lb)",GTO,ABS Eutelsat
15,"2 March 2015, 03:50 [ 21 ] [ 76 ]",F9 v1.1 B1015 [ 8 ],"Cape Canaveral , LC-40",S,"1,898 kg (4,184 lb) [ 82 ]",LEO ( ISS ),NASA ( CRS )
16,"14 April 2015, 20:10 [ 21 ]",F9 v1.1 B1016 [ 8 ],"Cape Canaveral , LC-40",T,"4,707 kg (10,377 lb)",GTO,Turkmenistan National Space Agency [ 88 ]
17,"27 April 2015, 23:03 [ 86 ]",F9 v1.1 B1018 [ 8 ],"Cape Canaveral , LC-40",S,"1,952 kg (4,303 lb) [ 92 ]",LEO ( ISS ),NASA ( CRS )
18,"28 June 2015, 14:21 [ 21 ] [ 91 ]",F9 FT B1019.1 [ 98 ],"Cape Canaveral , LC-40",O,"2,034 kg (4,484 lb)",LEO,Orbcomm
19,"22 December 2015, 01:29 [ 97 ]",F9 v1.1 B1017 [ 8 ],"VAFB , SLC-4E",J,"553 kg (1,219 lb)",LEO,NASA ( LSP ) NOAA CNES
20,"17 January 2016, 18:42 [ 21 ]",F9 FT B1020.1 [ 108 ],"Cape Canaveral , LC-40",S,"5,271 kg (11,621 lb)",GTO,SES
